PlayerName,On Base CI,Hit CI
Ted Williams,13.32469849246231,3.372514240491769
Lou Gehrig,13.135197778737286,4.197072901091302
Albert Pujols,12.382857142857143,3.7423961424332344
Joe DiMaggio,11.391964542776781,5.37730576498272
Frank Thomas,11.168458781362007,2.9983661613869472
Jeff Bagwell,10.972233346682685,2.922219550024622
Dom DiMaggio,10.487933863730042,3.847302247302247
Derek Jeter,10.415069887994076,4.793190330268982
Dale Alexander,10.325453785980102,4.360742435799644
Hank Greenberg,10.079365079365079,3.7897131694301507
Ferris Fain,10.046884643754987,1.8604336043360432
Edgar Martinez,9.801419610432486,2.66746563167713
Joey Votto,9.757662835249041,3.190610961365678
Rogers Hornsby,9.623151420701708,4.24813345536197
Barry Bonds,9.380392156862746,2.0167543700477832
Mickey Mantle,9.158525173123714,2.220802103879027
Eddie Stanky,9.151848151848151,2.0332296634183424
Manny Ramirez,9.141563860329581,3.0964314443989167
Jimmie Foxx,9.135282747346617,3.152401156561585
Chuck Knoblauch,9.126039304610734,3.226755302310858
Arky Vaughan,9.098420221169036,3.163888888888889
Harlond Clift,9.066137566137566,2.2469345086737866
Prince Fielder,9.021492295214921,2.5117079889807163
Ed Morgan,9.009754738015607,3.595191501258037
Charlie Gehringer,8.990557293477002,3.885521875423834
Ralph Kiner,8.943415637860083,2.0619854721549635
Earl Sheely,8.860319793440812,2.5607133879192703
Earle Combs,8.855392156862745,3.988927738927739
Chipper Jones,8.762433628938483,2.9559859154929575
Chase Utley,8.75974025974026,2.720167513645775
Ross Youngs,8.73468573253056,4.059326649206186
Dick Porter,8.614705882352942,3.281964754405699
Luke Appling,8.613781787224694,2.739670284087389
Shannon Stewart,8.557728119180632,3.701507144255236
Todd Helton,8.535474988933155,3.2964636132893887
Mickey Cochrane,8.534763173203514,2.576149842301813
Al Rosen,8.534406678592726,2.579148722365777
Andrew McCutchen,8.52309844090666,2.4486461251167135
Miguel Cabrera,8.522995522995524,3.734030197444832
Brian Giles,8.520651330268889,2.028313253012048
Wade Boggs,8.520294023649727,3.533146613702428
Minnie Minoso,8.490829346092504,3.165491773930247
Richie Ashburn,8.466361445783132,3.5202202826267666
Jacoby Ellsbury,8.456516516516515,4.011885521885522
Denard Span,8.435185185185185,3.2871035240632853
Rickey Henderson,8.409721125283559,2.1843661843661843
Stan Musial,8.36258337181638,3.4100431300061618
Lu Blue,8.346326316184472,2.654279120154491
Pete Rose,8.297412325502213,3.4563260772641655
Alex Rodriguez,8.295710267229254,3.2117447916666664
Bob Johnson,8.2905604719764,2.535042964554243
Joe Morgan,8.249145006839946,1.837814311432924
Max Bishop,8.237804878048781,1.5636626854867897
Ben Chapman,8.21525387900055,3.643537139494534
Gary Sheffield,8.201769285208776,2.966318004388267
Earl Averill,8.182539682539682,3.7714802750633374
Dustin Pedroia,8.151883853523776,4.119061583577713
Ichiro Suzuki,8.151478852025944,5.5532964193429315
Bobby Abreu,8.106183574879227,2.370007088428141
Paul Waner,8.103356586796076,4.150352153414514
