193104140,1,0,0,1
193104140,1,0,0,1
193104160,1,1,0,0
193104160,1,1,0,0
193104180,1,0,0,1
193104180,1,0,0,1
193104200,1,1,0,0
193104200,1,1,0,0
193104220,1,0,0,1
193104220,1,0,0,1
193104240,1,1,0,0
193104250,5,4,0,1
193104280,0,0,0,0
193105010,1,1,1,0
193105010,1,1,1,0
193105040,4,3,0,1
193105050,1,1,0,0
193105091,4,4,1,0
193105092,4,3,1,1
193105110,3,3,1,0
193105151,1,1,0,0
193105151,1,1,0,0
193105161,5,4,1,1
193105162,5,5,1,0
193105180,1,1,0,0
193105180,1,1,0,0
193105221,1,1,0,0
193105221,1,1,0,0
193105240,5,4,1,1
193105260,5,4,1,1
193105310,1,1,0,0
193105310,1,1,0,0
193106030,1,0,0,1
193106030,1,0,0,1
193106050,4,3,1,1
193106060,3,3,2,0
193106090,4,3,1,1
193106100,3,3,0,0
193106110,3,3,0,0
193106120,1,1,0,0
193106120,1,1,0,0
193106130,1,1,0,0
193106141,0,0,0,0
193106142,4,4,1,0
193106160,3,3,0,0
193106180,4,4,1,0
193106190,3,3,2,0
193106201,4,4,2,0
193106202,0,0,0,0
193106210,5,5,4,0
193106220,4,4,0,0
193106241,3,3,1,0
193106242,3,3,0,0
193106250,4,4,1,0
193106260,5,5,3,0
193106271,5,4,3,1
193106272,3,3,0,0
193106290,4,3,0,1
193106300,4,4,3,0
193107010,5,3,1,2
193107020,4,4,1,0
193107031,3,3,1,0
193107032,5,5,2,0
193107041,3,3,1,0
193107042,4,4,2,0
193107050,2,1,0,1
193107070,1,1,0,0
193107112,1,1,1,0
193107112,1,1,1,0
193107130,3,3,0,0
193107141,4,4,1,0
193107142,3,3,0,0
193107150,4,3,0,1
193107160,0,0,0,0
193107170,4,4,0,0
193107180,3,3,2,0
193107191,4,4,1,0
193107192,4,4,2,0
193107241,0,0,0,0
193107270,4,3,1,1
193107280,3,3,2,0
193107290,4,4,0,0
193107310,4,4,1,0
193108010,4,3,0,1
193108021,4,3,1,1
193108022,4,4,3,0
193108041,4,3,1,1
193108042,3,3,1,0
193108050,4,4,0,0
193108060,4,4,0,0
193108070,5,4,0,1
193108080,4,4,3,0
193108091,4,4,2,0
193108092,4,3,1,1
193108121,4,4,1,0
193108122,4,4,1,0
193108130,2,2,0,0
193108140,5,4,1,1
193108151,4,4,3,0
193108152,3,3,0,0
193108171,3,3,1,0
193108172,3,3,0,0
193108180,4,4,2,0
193108191,4,4,1,0
193108192,3,3,0,0
193108221,4,4,0,0
193108222,4,3,1,1
193108251,3,3,2,0
193108252,3,3,2,0
193108261,3,3,2,0
193108262,4,4,1,0
193108270,4,4,1,0
193108301,4,4,2,0
193108302,4,4,0,0
193109040,5,5,3,0
193109051,5,5,3,0
193109052,4,4,1,0
193109061,5,5,1,0
193109062,4,4,1,0
193109071,3,3,0,0
193109072,4,4,1,0
193109081,4,4,1,0
193109082,4,3,2,1
193109100,3,3,1,0
193109110,4,4,1,0
193109120,4,4,3,0
193109131,4,4,1,0
193109132,3,3,1,0
193109141,5,4,4,1
193109142,4,4,1,0
193109150,4,4,0,0
193109160,4,4,1,0
193109170,5,5,3,0
193109191,4,3,0,1
193109192,3,3,2,0
193204120,2,2,1,0
193204150,5,3,0,2
193204160,3,2,1,1
193204170,5,5,0,0
193204180,4,3,2,1
193204190,3,3,2,0
193204220,5,5,3,0
193204230,5,5,2,0
193204240,4,4,1,0
193204250,4,4,1,0
193204280,5,4,2,1
193204300,1,1,1,0
193204300,1,1,1,0
193205030,1,1,0,0
193205030,1,1,0,0
193205060,5,4,2,1
193205070,4,3,1,1
193205090,5,5,0,0
193205100,4,4,0,0
193205110,4,3,0,1
193205120,5,5,1,0
193205130,5,5,3,0
193205140,4,3,0,1
