CIN20070904,3,T
CIN20070905,23,T
CIN20070905,14,F
CIN20070905,20,T
CIN20070905,20,T
CIN20070907,21,T
CIN20070907,14,F
CIN20070907,2,T
CIN20070907,2,T
CIN20070908,23,T
CIN20070908,2,T
CIN20070908,2,T
CIN20070909,20,T
CIN20070909,3,T
CIN20070909,3,T
CIN20070909,21,T
CIN20070911,3,T
CIN20070912,3,T
CIN20070912,14,F
CIN20070912,2,T
CIN20070912,3,T
CIN20070913,20,T
CIN20070913,20,T
CIN20070913,21,T
CIN20070913,2,T
MIL20070914,20,T
MIL20070914,3,T
MIL20070914,2,T
MIL20070914,21,T
MIL20070915,20,T
MIL20070915,2,T
MIL20070915,15,F
MIL20070915,2,T
MIL20070916,2,T
MIL20070916,14,F
MIL20070916,2,T
MIL20070916,20,T
CHN20070917,3,T
CHN20070918,2,T
CHN20070918,2,T
CHN20070918,20,T
CHN20070918,2,T
CHN20070919,2,T
CHN20070919,2,T
CHN20070919,18,T
CHN20070919,3,T
SFN20070920,3,T
SFN20070920,20,T
SFN20070920,2,T
SFN20070920,2,T
SFN20070921,20,T
SFN20070921,2,T
SFN20070921,2,T
SFN20070921,20,T
SFN20070921,3,T
SFN20070921,2,T
SFN20070922,20,T
SFN20070922,2,T
SFN20070922,2,T
SFN20070922,2,T
SFN20070923,3,T
SFN20070923,3,T
SFN20070923,20,T
SFN20070923,2,T
CIN20070925,23,T
CIN20070925,2,T
CIN20070925,2,T
CIN20070925,3,T
CIN20070925,3,T
CIN20070926,21,T
CIN20070926,20,T
CIN20070926,2,T
CIN20070926,21,T
CIN20070927,2,T
CIN20070927,2,T
CIN20070927,2,T
CIN20070927,2,T
CIN20070928,2,T
CIN20070928,20,T
CIN20070928,2,T
CIN20070928,2,T
CIN20070929,2,T
CIN20070929,2,T
CIN20070929,2,T
CIN20070929,2,T
CIN20070930,2,T
CIN20070930,21,T
CIN20070930,23,T
CIN20070930,2,T
CIN20080402,2,T
CIN20080402,2,T
CIN20080402,20,T
CIN20080403,3,T
CIN20080404,2,T
CIN20080404,20,T
CIN20080404,2,T
CIN20080404,2,T
CIN20080405,2,T
CIN20080406,3,T
CIN20080406,2,T
CIN20080406,3,T
MIL20080408,20,T
MIL20080408,2,T
MIL20080408,20,T
MIL20080409,2,T
MIL20080410,2,T
PIT20080411,2,T
PIT20080411,2,T
PIT20080411,20,T
PIT20080411,3,T
PIT20080412,2,T
PIT20080412,20,T
PIT20080412,20,T
PIT20080412,20,T
PIT20080413,2,T
CHN20080415,3,T
CHN20080415,2,T
CHN20080415,2,T
CHN20080415,23,T
CHN20080416,21,T
CHN20080416,2,T
CHN20080416,21,T
CHN20080417,3,T
CHN20080417,21,T
CHN20080417,23,T
CHN20080417,2,T
CIN20080418,2,T
CIN20080418,3,T
CIN20080419,3,T
CIN20080419,2,T
CIN20080419,23,T
CIN20080419,2,T
CIN20080420,2,T
CIN20080420,2,T
CIN20080420,2,T
CIN20080420,3,T
CIN20080421,14,F
CIN20080421,3,T
